year,race,date
2020,Austrian Grand Prix,2020-07-05
2020,Styrian Grand Prix,2020-07-12
2020,Hungarian Grand Prix,2020-07-19
2020,British Grand Prix,2020-08-02
2020,70th Anniversary Grand Prix,2020-08-09
2020,Spanish Grand Prix,2020-08-16
2020,Belgian Grand Prix,2020-08-30
2020,Italian Grand Prix,2020-09-06
2020,Tuscan Grand Prix,2020-09-13
2020,Russian Grand Prix,2020-09-27
2020,Eifel Grand Prix,2020-10-11
2020,Portuguese Grand Prix,2020-10-25
2020,Emilia Romagna Grand Prix,2020-11-01
2020,Turkish Grand Prix,2020-11-15
2020,Bahrain Grand Prix,2020-11-29
2020,Sakhir Grand Prix,2020-12-06
2020,Abu Dhabi Grand Prix,2020-12-13
2021,Bahrain Grand Prix,2021-03-28
2021,Emilia‑Romagna Grand Prix,2021-04-18
2022,Bahrain Grand Prix,2022-03-20
2022,Saudi Arabian Grand Prix,2022-03-27
2022,Australian Grand Prix,2022-04-10
2023,Bahrain Grand Prix,2023-03-05
2023,Saudi Arabian Grand Prix,2023-03-19
2023,Australian Grand Prix,2023-04-02
2024,Bahrain Grand Prix,2024-03-02
2024,Saudi Arabian Grand Prix,2024-03-09
2024,Australian Grand Prix,2024-03-24
2024,Japanese Grand Prix,2024-04-07
2024,Chinese Grand Prix,2024-04-21
2024,Miami Grand Prix,2024-05-05
2024,Emilia Romagna Grand Prix,2024-05-19
2024,Monaco Grand Prix,2024-05-26
2024,Canadian Grand Prix,2024-06-09
2024,Spanish Grand Prix,2024-06-23
2024,Austrian Grand Prix,2024-06-30
2024,British Grand Prix,2024-07-07
2024,Hungarian Grand Prix,2024-07-21
2024,Belgian Grand Prix,2024-07-28
2024,Dutch Grand Prix,2024-08-25
2024,Italian Grand Prix,2024-09-01
2024,Azerbaijan Grand Prix,2024-09-15
2024,Singapore Grand Prix,2024-09-22
2024,United States Grand Prix,2024-10-20
2024,Mexico City Grand Prix,2024-10-27
2024,São Paulo Grand Prix,2024-11-03
2024,Las Vegas Grand Prix,2024-11-23
2024,Qatar Grand Prix,2024-12-01
2024,Abu Dhabi Grand Prix,2024-12-08
