country,f1_trend_score,dts_trend_score,gdp,ig_proxy
Ireland,34.0,92.0,624000,1173794.3585077300
Norway,58.2,97.0,630000,1138580.5277525000
Australia,32.0,78.0,1800000,915559.5996360330
Netherlands,98.0,76.0,1100000,892083.7124658780
New Zealand,25.0,68.0,250000,798180.1637852590
United Kingdom,43.0,67.0,3100000,786442.2202001820
Sweden,35.4,59.0,700000,692538.6715195630
Hungary,38.0,55.0,210000,645586.8971792540
South Africa,31.0,48.0,399000,563421.2920837130
Slovakia,28.0,48.0,140000,563421.2920837130
Portugal,27.0,47.0,300000,551683.3484986350
Canada,28.2,47.0,2240000,502983.3484935
Denmark,25.2,42.0,460000,492993.6305732480
Latvia,25.2,42.0,45000,679290.6373248
Singapore,35.0,41.0,500000,481255.686988171
Czech Republic,24.6,41.0,360000,481255.686988171
Austria,27.0,39.0,520000,457779.7998180160
Belgium,31.0,36.0,630000,422565.96906278400
Croatia,23.0,35.0,86000,410828.025477707
Switzerland,23.0,33.0,940000,387352.1383075520
Italy,46.0,45.0,2100000,410828.025477707
Spain,39.0,60.0,1800000,786442.2202001
France,26.0,74.0,3100000,89083.712465878
Argentina,24.0,52.0,640000,2916.348498635
Slovenia,24.0,42.0,70000,593421.292083713
Finland,24.0,48.0,320000,7816442.22020018
