date,keyword,trend_score
2020/7/26,F1,27
2020/8/2,F1,39
2020/8/9,F1,38
2020/8/16,F1,30
2020/8/23,F1,24
2020/8/30,F1,33
2020/9/6,F1,41
2020/9/13,F1,30
2020/9/20,F1,21
2020/9/27,F1,26
2020/10/4,F1,22
2020/10/11,F1,27
2020/10/18,F1,21
2020/10/25,F1,31
2020/11/1,F1,23
2020/11/8,F1,23
2020/11/15,F1,27
2020/11/22,F1,20
2020/11/29,F1,48
2020/12/6,F1,41
2020/12/13,F1,28
2020/12/20,F1,16
2020/12/27,F1,15
2021/1/3,F1,14
2021/1/10,F1,13
2021/1/17,F1,13
2021/1/24,F1,12
2021/1/31,F1,13
2021/2/7,F1,12
2021/2/14,F1,14
2021/2/21,F1,14
2021/2/28,F1,18
2021/3/7,F1,23
2021/3/14,F1,23
2021/3/21,F1,48
2021/3/28,F1,50
2021/4/4,F1,25
2021/4/11,F1,33
2021/4/18,F1,42
2021/4/25,F1,34
2021/5/2,F1,46
2021/5/9,F1,35
2021/5/16,F1,33
2021/5/23,F1,42
2021/5/30,F1,32
2021/6/6,F1,45
2021/6/13,F1,29
2021/6/20,F1,47
2021/6/27,F1,44
2021/7/4,F1,39
2021/7/11,F1,40
2021/7/18,F1,51
2021/7/25,F1,31
2021/8/1,F1,48
2021/8/8,F1,18
2021/8/15,F1,17
2021/8/22,F1,31
2021/8/29,F1,56
2021/9/5,F1,52
2021/9/12,F1,40
2021/9/19,F1,30
2021/9/26,F1,39
2021/10/3,F1,28
2021/10/10,F1,37
2021/10/17,F1,32
2021/10/24,F1,41
2021/10/31,F1,32
2021/11/7,F1,58
2021/11/14,F1,60
2021/11/21,F1,46
2021/11/28,F1,37
2021/12/5,F1,86
2021/12/12,F1,87
2021/12/19,F1,23
2021/12/26,F1,21
2022/1/2,F1,20
2022/1/9,F1,18
2022/1/16,F1,17
2022/1/23,F1,16
2022/1/30,F1,18
2022/2/6,F1,23
2022/2/13,F1,27
2022/2/20,F1,32
2022/2/27,F1,23
2022/3/6,F1,36
2022/3/13,F1,66
2022/3/20,F1,100
2022/3/27,F1,71
2022/4/3,F1,49
2022/4/10,F1,53
2022/4/17,F1,52
2022/4/24,F1,53
2022/5/1,F1,48
2022/5/8,F1,59
2022/5/15,F1,38
2022/5/22,F1,65
2022/5/29,F1,54
2022/6/5,F1,38
2022/6/12,F1,66
2022/6/19,F1,54
2022/6/26,F1,44
2022/7/3,F1,88
2022/7/10,F1,56
2022/7/17,F1,40
2022/7/24,F1,63
2022/7/31,F1,52
2022/8/7,F1,24
2022/8/14,F1,22
2022/8/21,F1,42
2022/8/28,F1,60
2022/9/4,F1,57
2022/9/11,F1,43
2022/9/18,F1,25
2022/9/25,F1,36
2022/10/2,F1,66
2022/10/9,F1,47
2022/10/16,F1,33
2022/10/23,F1,56
2022/10/30,F1,44
2022/11/6,F1,35
2022/11/13,F1,59
2022/11/20,F1,38
2022/11/27,F1,15
2022/12/4,F1,13
2022/12/11,F1,13
2022/12/18,F1,13
2022/12/25,F1,13
2023/1/1,F1,14
2023/1/8,F1,14
2023/1/15,F1,13
2023/1/22,F1,14
2023/1/29,F1,17
2023/2/5,F1,17
2023/2/12,F1,23
2023/2/19,F1,34
2023/2/26,F1,65
2023/3/5,F1,60
2023/3/12,F1,43
2023/3/19,F1,58
2023/3/26,F1,41
2023/4/2,F1,48
2023/4/9,F1,23
2023/4/16,F1,21
2023/4/23,F1,42
2023/4/30,F1,58
2023/5/7,F1,49
2023/5/14,F1,26
2023/5/21,F1,38
2023/5/28,F1,60
2023/6/4,F1,41
2023/6/11,F1,37
2023/6/18,F1,46
2023/6/25,F1,41
2023/7/2,F1,56
2023/7/9,F1,51
2023/7/16,F1,37
2023/7/23,F1,64
2023/7/30,F1,39
2023/8/6,F1,19
2023/8/13,F1,18
2023/8/20,F1,30
2023/8/27,F1,55
2023/9/3,F1,44
2023/9/10,F1,36
2023/9/17,F1,61
2023/9/24,F1,38
2023/10/1,F1,38
2023/10/8,F1,40
2023/10/15,F1,35
2023/10/22,F1,54
2023/10/29,F1,59
2023/11/5,F1,47
2023/11/12,F1,47
2023/11/19,F1,55
2023/11/26,F1,37
2023/12/3,F1,17
2023/12/10,F1,14
2023/12/17,F1,15
2023/12/24,F1,14
2023/12/31,F1,14
2024/1/7,F1,14
2024/1/14,F1,14
2024/1/21,F1,16
2024/1/28,F1,23
2024/2/4,F1,24
2024/2/11,F1,25
2024/2/18,F1,36
2024/2/25,F1,77
2024/3/3,F1,72
2024/3/10,F1,34
2024/3/17,F1,41
2024/3/24,F1,51
2024/3/31,F1,38
2024/4/7,F1,41
2024/4/14,F1,40
2024/4/21,F1,38
2024/4/28,F1,42
2024/5/5,F1,51
2024/5/12,F1,35
2024/5/19,F1,53
2024/5/26,F1,59
2024/6/2,F1,37
2024/6/9,F1,46
2024/6/16,F1,34
2024/6/23,F1,49
2024/6/30,F1,51
2024/7/7,F1,47
2024/7/14,F1,36
2024/7/21,F1,56
2024/7/28,F1,46
2024/8/4,F1,19
2024/8/11,F1,18
2024/8/18,F1,32
2024/8/25,F1,52
2024/9/1,F1,46
2024/9/8,F1,34
2024/9/15,F1,59
2024/9/22,F1,42
2024/9/29,F1,21
2024/10/6,F1,21
2024/10/13,F1,36
2024/10/20,F1,57
2024/10/27,F1,67
2024/11/3,F1,60
